time,open,high,low,close,volume
2026-08-14T08:58:00+09:00,159.432,159.435,159.426,159.434,70
2026-08-14T08:59:00+09:00,159.435,159.436,159.432,159.432,34
2026-08-14T09:00:00+09:00,159.432,159.442,159.394,159.434,373
2026-08-14T09:01:00+09:00,159.434,159.465,159.434,159.458,206
2026-08-14T09:02:00+09:00,159.46,159.46,159.446,159.451,150
2026-08-14T09:03:00+09:00,159.452,159.474,159.452,159.472,198
2026-08-14T09:04:00+09:00,159.473,159.492,159.472,159.473,157
2026-08-14T09:05:00+09:00,159.474,159.474,159.458,159.463,141
2026-08-14T09:06:00+09:00,159.465,159.474,159.458,159.472,149
2026-08-14T09:07:00+09:00,159.472,159.478,159.469,159.474,131
2026-08-14T09:08:00+09:00,159.474,159.474,159.46,159.47,138
2026-08-14T09:09:00+09:00,159.47,159.487,159.468,159.482,97
2026-08-14T09:10:00+09:00,159.484,159.498,159.478,159.496,175
2026-08-14T09:11:00+09:00,159.496,159.505,159.494,159.502,110
2026-08-14T09:12:00+09:00,159.503,159.506,159.486,159.488,147
2026-08-14T09:13:00+09:00,159.488,159.492,159.484,159.49,88
2026-08-14T09:14:00+09:00,159.49,159.49,159.466,159.472,113
2026-08-14T09:15:00+09:00,159.472,159.479,159.434,159.446,307
2026-08-14T09:16:00+09:00,159.444,159.448,159.435,159.438,294
2026-08-14T09:17:00+09:00,159.437,159.451,159.435,159.438,220
2026-08-14T09:18:00+09:00,159.438,159.446,159.437,159.446,147
2026-08-14T09:19:00+09:00,159.445,159.445,159.434,159.436,134
2026-08-14T09:20:00+09:00,159.437,159.44,159.424,159.428,148
2026-08-14T09:21:00+09:00,159.428,159.428,159.4,159.406,197
2026-08-14T09:22:00+09:00,159.406,159.429,159.404,159.424,193
2026-08-14T09:23:00+09:00,159.424,159.428,159.416,159.428,203
2026-08-14T09:24:00+09:00,159.428,159.434,159.424,159.425,137
2026-08-14T09:25:00+09:00,159.426,159.433,159.408,159.41,212
2026-08-14T09:26:00+09:00,159.411,159.422,159.41,159.421,114
2026-08-14T09:27:00+09:00,159.423,159.438,159.423,159.432,224
2026-08-14T09:28:00+09:00,159.433,159.433,159.415,159.415,177
2026-08-14T09:29:00+09:00,159.416,159.416,159.402,159.406,157
2026-08-14T09:30:00+09:00,159.405,159.428,159.4,159.407,252
2026-08-14T09:31:00+09:00,159.408,159.42,159.406,159.416,132
2026-08-14T09:32:00+09:00,159.417,159.426,159.417,159.424,134
2026-08-14T09:33:00+09:00,159.424,159.426,159.404,159.414,142
2026-08-14T09:34:00+09:00,159.414,159.414,159.398,159.404,155
2026-08-14T09:35:00+09:00,159.4,159.4,159.383,159.399,128
2026-08-14T09:36:00+09:00,159.402,159.415,159.402,159.414,131
2026-08-14T09:37:00+09:00,159.414,159.421,159.413,159.414,175
2026-08-14T09:38:00+09:00,159.413,159.424,159.4,159.418,206
2026-08-14T09:39:00+09:00,159.418,159.418,159.409,159.411,154
2026-08-14T09:40:00+09:00,159.41,159.418,159.406,159.416,166
2026-08-14T09:41:00+09:00,159.416,159.418,159.412,159.417,143
2026-08-14T09:42:00+09:00,159.416,159.424,159.416,159.418,212
2026-08-14T09:43:00+09:00,159.418,159.418,159.413,159.416,44
2026-08-14T09:44:00+09:00,159.416,159.416,159.412,159.416,31
2026-08-14T09:45:00+09:00,159.416,159.418,159.41,159.416,90
2026-08-14T09:46:00+09:00,159.416,159.422,159.415,159.417,123
2026-08-14T09:47:00+09:00,159.418,159.429,159.417,159.428,114
2026-08-14T09:48:00+09:00,159.429,159.432,159.428,159.43,59
2026-08-14T09:49:00+09:00,159.43,159.436,159.427,159.436,43
2026-08-14T09:50:00+09:00,159.437,159.444,159.428,159.444,107
2026-08-14T09:51:00+09:00,159.443,159.452,159.414,159.416,153
2026-08-14T09:52:00+09:00,159.416,159.43,159.408,159.415,191
2026-08-14T09:53:00+09:00,159.416,159.43,159.396,159.418,261
2026-08-14T09:54:00+09:00,159.42,159.421,159.362,159.366,685
2026-08-14T09:55:00+09:00,159.364,159.39,159.35,159.374,386
2026-08-14T09:56:00+09:00,159.371,159.392,159.366,159.384,229
2026-08-14T09:57:00+09:00,159.383,159.392,159.376,159.378,130
2026-08-14T09:58:00+09:00,159.379,159.386,159.366,159.372,176
2026-08-14T09:59:00+09:00,159.373,159.375,159.352,159.375,188
2026-08-14T10:00:00+09:00,159.374,159.378,159.354,159.366,303
2026-08-14T10:01:00+09:00,159.366,159.38,159.365,159.38,169
2026-08-14T10:02:00+09:00,159.378,159.4,159.378,159.397,254
2026-08-14T10:03:00+09:00,159.398,159.4,159.388,159.39,197
2026-08-14T10:04:00+09:00,159.392,159.406,159.388,159.406,159
2026-08-14T10:05:00+09:00,159.407,159.423,159.407,159.416,218
2026-08-14T10:06:00+09:00,159.416,159.419,159.395,159.396,153
2026-08-14T10:07:00+09:00,159.396,159.41,159.395,159.404,149
2026-08-14T10:08:00+09:00,159.404,159.404,159.394,159.394,83
2026-08-14T10:09:00+09:00,159.395,159.402,159.378,159.402,174
2026-08-14T10:10:00+09:00,159.404,159.413,159.393,159.412,157
2026-08-14T10:11:00+09:00,159.41,159.422,159.408,159.414,155
